Store_Name,Address,City,Zip_Code,New_Store_Hours,Senior_Hours,Details_on_Senior_Hours__days_t,Curbside_Pick_Up,ObjectId,New_closed,New_opening
Superland Market,17021 SCHOOLCRAFT,Detroit,48227,8AM - 9AM,unknown,unknown,unknown,1,1587085200000,1587038400000
Glory Foods Supermarket,19150 TELEGRAPH RD,Detroit,48219,10AM - 7PM,No,No,No,2,1587078000000,1587045600000
Mike's Fresh Market,14383 GRATIOT,Detroit,48205,10AM - 6PM,unknown,unknown,unknown,3,1587074400000,1587045600000
Good Stuff Market,"1444 Michigan Ave, Detroit, MI",,48216,10AM - 9PM,unknown,unknown,unknown,4,1587085200000,1587045600000
Meijer,1301 W 8 MI RD,Detroit,48220,6AM - 11PM,unknown,unknown,unknown,5,1587092400000,1587031200000
City Market,"575 Brush St, Detroit, MI",,48226,7-12 (2 hours cleaning),yes,7-10 seniors 11-12 first responders,Yes,6,1587052800000,1587034800000
Gigante Prince Valley Supermercado,5931 MICHIGAN AVE,Detroit,48210,7:30a-8pm Everyday,No,No,No,7,1587081600000,1587036600000
Greenfield Supermarket,15530 PURITAN,Detroit,48227,8am -7pm,No,No,No,8,1587078000000,1587038400000
Old Redford Food Center,21673 GRAND RIVER,Detroit,48219,8AM - 8:30PM,No,No,No,9,1587083400000,1587038400000
Atlas Market,2645 W DAVISON,Detroit,48238,8am - 5pm,No,No,No,10,1587070800000,1587038400000
Glory Foods Supermarket,8000 W OUTER DR,Detroit,48235,8am-5pm,No,No,No,11,1587070800000,1587038400000
Liberty Food Center,10620 W MCNICHOLS,Detroit,48221,8a-5p,No,No,no,12,1587070800000,1587038400000
Mike's Fresh Market,19195 LIVERNOIS,Detroit,48221,8am-6pm,No,No,no,13,1587074400000,1587038400000
Savon Foods Super Store,18000 LIVERNOIS AVE,Detroit,48221,8am-630pm,No,No,No,14,1587076200000,1587038400000
Value Save Food Center,14470 LIVERNOIS,Detroit,48238,8a-6p,No,no,no,15,1587074400000,1587038400000
